dep_date,airline,station,time,duration,stops,price,dateofbooking
"Tue, 15 Mar",Go First,BOM - DEL,23:45 - 02:00, 2h 15m ,Non-stop,"₹ 6,400",15/03/2022
"Tue, 15 Mar",IndiGo,BOM - DEL,19:35 - 21:25, 1h 50m ,Non-stop,"₹ 7,307",15/03/2022
"Tue, 15 Mar",AirAsia (India),BOM - DEL,21:45 - 23:55, 2h 10m ,Non-stop,"₹ 6,804",15/03/2022
"Tue, 15 Mar",Go First,BOM - DEL,21:45 - 00:00, 2h 15m ,Non-stop,"₹ 6,400",15/03/2022
"Tue, 15 Mar",IndiGo,BOM - DEL,22:20 - 00:25, 2h 5m ,Non-stop,"₹ 7,194",15/03/2022
"Tue, 15 Mar",Air India,BOM - DEL,21:30 - 23:45, 2h 15m ,Non-stop,"₹ 6,995",15/03/2022
"Tue, 15 Mar",Air India,BOM - DEL,19:00 - 21:15, 2h 15m ,Non-stop,"₹ 6,995",15/03/2022
"Tue, 15 Mar",IndiGo,BOM - DEL,18:30 - 20:35, 2h 5m ,Non-stop,"₹ 7,308",15/03/2022
"Tue, 15 Mar",IndiGo,BOM - DEL,20:30 - 22:35, 2h 5m ,Non-stop,"₹ 7,308",15/03/2022
"Tue, 15 Mar",Vistara,BOM - DEL,22:45 - 00:55, 2h 10m ,Non-stop,"₹ 7,303",15/03/2022
"Tue, 15 Mar",Air India,BOM - DEL,18:10 - 20:35, 2h 25m ,Non-stop,"₹ 6,995",15/03/2022
"Tue, 15 Mar",Vistara,BOM - DEL,21:55 - 00:10, 2h 15m ,Non-stop,"₹ 7,303",15/03/2022
"Tue, 15 Mar",SpiceJet,BOM - DEL,19:25 - 21:50, 2h 25m ,Non-stop,"₹ 7,145",15/03/2022
"Tue, 15 Mar",~Z,BOM - DEL,23:45 - 02:00, 2h 15m ,Non-stop,"₹ 7,658",15/03/2022
"Tue, 15 Mar",~Z,BOM - DEL,20:15 - 22:25, 2h 10m ,Non-stop,"₹ 8,276",15/03/2022
"Tue, 15 Mar",Vistara,BOM - DEL,17:35 - 19:45, 2h 10m ,Non-stop,"₹ 8,883",15/03/2022
"Tue, 15 Mar",Vistara,BOM - DEL,20:55 - 23:00, 2h 5m ,Non-stop,"₹ 11,503",15/03/2022
"Tue, 15 Mar",Vistara,BOM - DEL,18:30 - 20:40, 2h 10m ,Non-stop,"₹ 12,763",15/03/2022
"Tue, 15 Mar",Vistara,BOM - DEL,19:45 - 21:55, 2h 10m ,Non-stop,"₹ 12,763",15/03/2022
"Tue, 15 Mar",AirAsia (India),BOM - DEL,18:10 - 00:50, 6h 40m ,1 stop,"₹ 7,308",15/03/2022
"Tue, 15 Mar",AirAsia (India),BOM - DEL,20:10 - 03:20, 7h 10m ,1 stop,"₹ 7,307",15/03/2022
"Tue, 15 Mar",Air India,BOM - DEL,21:00 - 03:40, 6h 40m ,1 stop,"₹ 12,221",15/03/2022
"Wed, 27 Apr",Vistara,BOM - DEL,20:55 - 23:00, 2h 5m ,Non-stop,"₹ 4,409",15/03/2022
"Wed, 27 Apr",Vistara,BOM - DEL,20:55 - 23:00, 2h 5m ,Non-stop,"₹ 4,409",15/03/2022
"Wed, 27 Apr",Vistara,BOM - DEL,20:55 - 23:00, 2h 5m ,Non-stop,"₹ 4,409",15/03/2022
"Wed, 27 Apr",Vistara,BOM - DEL,20:55 - 23:00, 2h 5m ,Non-stop,"₹ 4,409",15/03/2022
"Wed, 27 Apr",Vistara,BOM - DEL,20:55 - 23:00, 2h 5m ,Non-stop,"₹ 4,409",15/03/2022
