dep_date,airline,station,time,duration,stops,price,dateofbooking
16/03/2022,Vistara,CCU - BLR,10:25 - 23:20, 12h 55m ,2 stops,"₹ 26,598",15/03/2022
16/03/2022,Air India,CCU - BLR,13:30 - 08:55, 19h 25m ,3 stops,"₹ 18,444",15/03/2022
16/03/2022,Vistara,CCU - BLR,10:25 - 22:40, 12h 15m ,2 stops,"₹ 30,216",15/03/2022
16/03/2022,Air India,CCU - BLR,07:45 - 20:05, 12h 20m ,3 stops,"₹ 31,279",15/03/2022
16/03/2022,Vistara,CCU - BLR,10:15 - 07:50, 21h 35m ,2 stops,"₹ 19,149",15/03/2022
16/03/2022,Vistara,CCU - BLR,20:25 - 10:45, 14h 20m ,2 stops,"₹ 31,095",15/03/2022
16/03/2022,Air India,CCU - BLR,11:35 - 08:55, 23h 50m ,4 stops,"₹ 18,203",15/03/2022
16/03/2022,SpiceJet,CCU - BLR,15:15 - 17:00+1, 25h 45m ,1 stop,"₹ 16,746",15/03/2022
16/03/2022,Air India,CCU - BLR,21:00 - 22:15+1, 25h 15m ,2 stops,"₹ 19,640",15/03/2022
16/03/2022,Air India,CCU - BLR,07:45 - 08:55+1, 25h 10m ,4 stops,"₹ 19,915",15/03/2022
16/03/2022,SpiceJet,CCU - BLR,18:10 - 21:25+1, 27h 15m ,1 stop,"₹ 18,290",15/03/2022
16/03/2022,Air India,CCU - BLR,11:35 - 11:10, 26h 5m ,3 stops,"₹ 20,800",15/03/2022
16/03/2022,Air India,CCU - BLR,17:15 - 00:10+1, 30h 55m ,2 stops,"₹ 17,013",15/03/2022
16/03/2022,Air India,CCU - BLR,10:25 - 17:55+1, 31h 30m ,3 stops,"₹ 21,471",15/03/2022
16/03/2022,Air India,CCU - BLR,13:30 - 00:10+1, 34h 40m ,2 stops,"₹ 17,324",15/03/2022
16/03/2022,Air India,CCU - BLR,19:00 - 22:15+1, 27h 15m ,1 stop,"₹ 31,387",15/03/2022
16/03/2022,Air India,CCU - BLR,13:50 - 00:10+1, 34h 20m ,2 stops,"₹ 21,735",15/03/2022
16/03/2022,Air India,CCU - BLR,10:25 - 22:15, 11h 50m ,2 stops,"₹ 54,803",15/03/2022
16/03/2022,Emirates,CCU - BLR,20:20 - 02:55+1, 30h 35m ,1 stop,"₹ 42,478",15/03/2022
16/03/2022,Vistara,CCU - BLR,20:35 - 11:50, 15h 15m ,2 stops,"₹ 65,326",15/03/2022
